Risk Profile,BHP AT Equity,CSL AT Equity,RIO AT Equity,CBA AT Equity,WOW AT Equity,WES AT Equity,TLS AT Equity,AMC AT Equity,BXB AT Equity,FPH AT Equity,Risk-free asset
10,0.0,0.364,0.084,0.0,0.0,0.0,0.0,0.0,0.0,0.553,0.0
9,0.0,0.364,0.084,0.0,0.0,0.0,0.0,0.0,0.0,0.553,0.0
8,0.0,0.334,0.077,0.0,0.0,0.0,0.0,0.0,0.0,0.507,0.08209686527861426
7,0.0,0.251,0.057,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.31157264895896075
6,0.0,0.2,0.046,0.0,0.0,0.0,0.0,0.0,0.0,0.304,0.4492581191671685
5,0.0,0.167,0.038,0.0,0.0,0.0,0.0,0.0,0.0,0.254,0.5410484326393071
4,0.0,0.143,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.217,0.6066129422622633
3,0.0,0.125,0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.6557863244794804
2,0.0,0.111,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.169,0.6940322884262047
1,0.0,0.1,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.152,0.7246290595835843
