Equity,neg,neu,pos,compound
AMC,0.04007692307692308,0.9091923076923076,0.05073076923076923,0.04230384615384615
BHP,0.015137499999999998,0.9451124999999999,0.03975,0.06618125
BXB,0.018307692307692306,0.9077692307692308,0.07392307692307692,0.09809230769230769
CBA,0.035871428571428575,0.8972714285714285,0.06681428571428571,0.07263142857142857
CSL,0.02753846153846154,0.8834615384615384,0.089,0.14594871794871794
FPH,0.0,0.9882307692307692,0.01176923076923077,0.033876923076923075
RIO,0.01976470588235294,0.9361372549019609,0.04409803921568628,0.047176470588235285
TLS,0.007181818181818182,0.9660909090909091,0.026696969696969698,0.04323333333333333
WES,0.02069047619047619,0.9352857142857144,0.04402380952380952,0.03951904761904762
WOW,0.01731578947368421,0.9543947368421053,0.028289473684210524,0.01209210526315789
